GS<br> follow link to MSigDB,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
MORF_PRKAR1A,27,0.4802674,1.5678066,0.052738335,0.16859113,0.406,1339,"tags=85%, list=41%, signal=143%"
MORF_UBE2N,35,0.4807521,1.5605779,0.030425964,0.17067994,0.415,1567,"tags=94%, list=48%, signal=179%"
MORF_RAF1,35,0.4447564,1.558502,0.038383838,0.16722731,0.415,1703,"tags=94%, list=52%, signal=195%"
MORF_ANP32B,43,0.4558375,1.556278,0.03877551,0.1643196,0.415,1464,"tags=86%, list=45%, signal=154%"
MORF_MAP2K2,40,0.4800176,1.5513952,0.0741483,0.1640427,0.421,977,"tags=73%, list=30%, signal=102%"
GCM_RAB10,58,0.42954996,1.5443393,0.060546875,0.16607444,0.432,1562,"tags=86%, list=48%, signal=162%"
MORF_RPA1,30,0.455926,1.527919,0.046092186,0.17806727,0.454,1182,"tags=77%, list=36%, signal=119%"
GCM_NCAM1,29,0.443745,1.5263326,0.0234375,0.17508042,0.456,1667,"tags=90%, list=51%, signal=181%"
MORF_HAT1,58,0.44942787,1.5232682,0.070726916,0.17355794,0.457,1519,"tags=88%, list=46%, signal=161%"
MORF_FEN1,28,0.46007982,1.5225526,0.0591716,0.17022763,0.458,1464,"tags=86%, list=45%, signal=154%"
GNF2_APEX1,38,0.5005123,1.5224764,0.07474747,0.16617166,0.458,1244,"tags=84%, list=38%, signal=134%"
MORF_RRM1,43,0.47034845,1.5217327,0.067073174,0.16302738,0.459,1137,"tags=77%, list=35%, signal=116%"
GCM_MYST2,55,0.4230599,1.5214593,0.04761905,0.15942293,0.459,1560,"tags=85%, list=48%, signal=161%"
MORF_CDC16,30,0.47491324,1.5095325,0.038306452,0.16679771,0.467,1306,"tags=83%, list=40%, signal=137%"
MORF_SMC1L1,32,0.46468213,1.4897394,0.060851928,0.18107013,0.485,936,"tags=69%, list=29%, signal=95%"
MORF_MTA1,34,0.44260272,1.4761603,0.08146639,0.18991037,0.496,1703,"tags=94%, list=52%, signal=194%"
GCM_NUMA1,25,0.44820735,1.4714653,0.057768926,0.18973932,0.5,1322,"tags=80%, list=40%, signal=133%"
MORF_DEK,74,0.39570376,1.450071,0.085192695,0.2044846,0.515,1737,"tags=89%, list=53%, signal=186%"
MORF_PSMC2,27,0.4526035,1.44981,0.111561865,0.20040925,0.515,1622,"tags=93%, list=50%, signal=182%"
MORF_G22P1,44,0.42791498,1.4456842,0.11336032,0.20018007,0.517,950,"tags=66%, list=29%, signal=92%"
MORF_ACP1,57,0.39825723,1.4386548,0.075203255,0.20256265,0.524,950,"tags=61%, list=29%, signal=85%"
GCM_UBE2N,40,0.40236416,1.4376223,0.061143983,0.19969134,0.526,1560,"tags=83%, list=48%, signal=156%"
